 ,Mean(cell_0),Mean(Background),Mean(Reference),Mean(area1_cell0),Mean(area2_cell0),Mean(entire_cell0)
92,99.833,99.863,99.863,103.879,104.844,103.342
93,99.912,99.900,99.900,104.055,104.922,103.324
94,99.771,99.852,99.852,104.301,104.830,103.271
95,99.830,99.805,99.805,103.843,104.893,103.283
96,99.861,99.905,99.905,104.185,104.594,103.285
97,99.902,99.789,99.789,103.949,104.561,103.244
98,99.816,99.894,99.894,103.796,104.328,103.263
99,99.845,99.935,99.935,104.104,104.431,103.289
100,99.789,99.878,99.878,104.244,104.306,103.277
101,99.885,99.913,99.913,104.179,104.264,103.293
102,99.756,99.933,99.933,104.289,104.349,103.236
103,99.833,99.838,99.838,104.228,104.301,103.230
104,99.843,99.925,99.925,104.071,104.243,103.259
105,99.958,99.893,99.893,104.040,104.350,103.196
106,99.834,99.718,99.718,104.431,104.219,103.081
107,99.735,99.760,99.760,104.062,104.286,102.987
108,99.875,99.890,99.890,104.135,104.247,103.033
109,99.808,99.787,99.787,104.114,104.059,103.013
110,99.814,99.858,99.858,103.836,104.210,102.996
111,99.816,99.962,99.962,103.745,104.144,102.995
112,99.736,99.800,99.800,103.595,103.997,102.963
113,99.839,99.898,99.898,103.654,103.834,102.941
114,99.885,99.858,99.858,103.766,103.599,102.944
115,99.805,99.781,99.781,103.648,103.580,102.904
116,99.831,99.747,99.747,103.857,103.585,102.898
117,99.830,99.812,99.812,103.688,103.573,102.965
118,99.858,99.913,99.913,103.661,103.900,102.924
119,99.809,99.916,99.916,103.470,103.780,102.883
120,99.727,99.874,99.874,103.712,103.819,102.891
121,99.765,99.837,99.837,103.755,103.991,102.916
122,99.779,99.855,99.855,104.088,103.768,102.875
123,99.789,99.893,99.893,104.063,103.916,102.912
124,99.800,99.874,99.874,104.098,103.474,102.907
125,99.863,99.939,99.939,103.906,103.379,102.899
126,99.833,99.735,99.735,103.783,103.449,102.885
127,99.752,99.924,99.924,103.732,103.616,102.817
