Time,004_Cond1_cell1,004_Cond1_cell2,004_Cond1_cell3,004_Cond1_cell4,004_Cond1_cell5,005_Cond1_cell1,005_Cond1_cell2,005_Cond1_cell3,005_Cond1_cell4
77.0006,1.091544226,1.192841163,1.229875668,1.139174469,1.04473096,1.303405055,1.134342172,1.235121899,1.168702579
77.5,1.091927775,1.191128156,1.231750865,1.139961383,1.044724785,1.297309844,1.133288833,1.233209231,1.164675255
77.9995,1.092405736,1.190846916,1.22905875,1.138409414,1.044311067,1.299691294,1.131634262,1.231690458,1.168555726
78.5004,1.093650794,1.195775008,1.230135596,1.139451346,1.047108295,1.295801128,1.1306472,1.231319287,1.163015375
79.0006,1.094305777,1.194407159,1.230581187,1.140609858,1.043897348,1.298735,1.130043601,1.23046332,1.162543666
79.5002,1.090517496,1.193173538,1.227889072,1.137950381,1.042545046,1.292291623,1.12797953,1.228615038,1.163131077
79.9999,1.093261344,1.19704698,1.230253183,1.138657146,1.042477122,1.297328413,1.126713156,1.228395366,1.166766793
80.4999,1.089030507,1.194439118,1.226490411,1.137017742,1.04323046,1.298423972,1.126810205,1.229012722,1.165262666
80.9998,1.089307842,1.195717482,1.227672466,1.138096106,1.04137799,1.297346981,1.128528686,1.229186945,1.166134882
81.4999,1.090877441,1.19107063,1.224862764,1.13932748,1.041013671,1.297203073,1.126232644,1.228936973,1.167238502
81.9999,1.088959698,1.191824864,1.227913828,1.137753652,1.040173885,1.294301697,1.128320386,1.2287476,1.170785217
82.4999,1.086032926,1.190591243,1.228068547,1.135866516,1.037135835,1.292477311,1.127259945,1.227857546,1.167901564
83.0003,1.084711158,1.183630553,1.220543003,1.135174323,1.035437739,1.289204559,1.123967373,1.227134141,1.165805576
83.4998,1.089880215,1.192419303,1.227746731,1.13597581,1.039803391,1.291158926,1.121683165,1.225391908,1.161675901
84.0002,1.089614681,1.186340684,1.223804484,1.13597581,1.03865486,1.291864541,1.121709203,1.227130353,1.166272834
84.4991,1.087378297,1.18801534,1.225178391,1.134285402,1.038716609,1.288113641,1.119062836,1.223589075,1.162668269
84.9999,1.086811825,1.18682007,1.222436766,1.136296404,1.037284033,1.287315182,1.120075935,1.224797276,1.157991233
85.4999,1.085153715,1.187126878,1.22312372,1.134401982,1.036777691,1.286377457,1.120400222,1.22595624,1.160291925
86.0001,1.084026671,1.184346437,1.223420781,1.132405552,1.036623319,1.285783256,1.119337414,1.224187495,1.151943573
