"time","Norm_cond2_file1_cell0","Norm_cond2_file2_cell0","Norm_cond2_file3_cell0","Norm_cond2_file4_cell0","Norm_cond2_file5_cell0","Norm_cond2_file6_cell0","Norm_cond2_file7_cell0","Norm_cond2_file8_cell0","Norm_cond2_file9_cell0","Norm_cond2_file10_cell0","Norm_cond2_file11_cell0","Norm_cond2_file12_cell0","Norm_cond2_file13_cell0","Norm_cond2_file14_cell0","Norm_cond2_file15_cell0","Norm_cond2_file16_cell0","Norm_cond2_file17_cell0","Norm_cond2_file18_cell0","Norm_cond2_file19_cell0","Norm_cond2_file20_cell0","Norm_cond2_file21_cell0","Norm_cond2_file22_cell0","Norm_cond2_file23_cell0","Norm_cond2_file24_cell0","Norm_cond2_file25_cell0","Norm_cond2_file26_cell0","Norm_cond2_file27_cell0","Norm_cond2_file28_cell0","Norm_cond2_file29_cell0","Norm_cond2_file30_cell0","Norm_cond2_file31_cell0","Norm_cond2_file32_cell0","Norm_cond2_file33_cell0","Norm_cond2_file34_cell0","Norm_cond2_file35_cell0","Norm_cond2_file36_cell0"
19.001,0.730144341398787,0.707087259319953,0.636531103868498,0.7114477278371,0.856592347921827,0.509772748527073,0.786881673567227,0.732264459960349,0.7543007222587,0.610191436234162,0.569038884812913,0.655162605480231,0.822474645030426,0.775040344271114,0.712718009014305,0.681512359221881,0.6878327289561,0.780451246449985,0.783619723571162,0.573150533676849,0.626573284612261,0.921920337641781,0.7546468401487,0.731837369473452,0.669227424264385,0.742756183745584,0.837504490480182,0.803790506811067,0.783335215084115,0.772770398481974,0.676784400294334,0.816212594908441,0.740545640380532,0.762328146867539,0.73884243674666,0.630225420679437
20.001,0.742207656369849,0.792707906595658,0.639223466062065,0.711199404022847,0.852555280300945,0.53390068268961,0.758117236870778,0.689595724506508,0.771109652002627,0.592804956996208,0.635069699192957,0.70313833317531,0.838458417849899,0.803119956966112,0.74965706447188,0.698259470528009,0.700640382686521,0.736904386241717,0.8810235338065,0.619433198380566,0.615408038976856,0.974544974940649,0.689384551838084,0.741612974894469,0.671546600956662,0.726360424028269,0.776912944557538,0.834672984178018,0.822964886530428,0.729838709677419,0.672553348050037,0.843010272443054,0.757685352622061,0.804972421173954,0.71669019437507,0.624616361519738
21,0.697371173558329,0.765055305202785,0.678900382598837,0.740253290290539,0.871639599963299,0.527541382212662,0.774569623011549,0.703129040599949,0.78726198292843,0.571534264311477,0.698606016140865,0.709775291552101,0.920973630831643,0.777945131791286,0.758279443464629,0.71076495538979,0.701797700794692,0.740059955822027,0.818733657078819,0.637467795362531,0.662403572878603,1.05222896333421,0.67905824039653,0.720173294823372,0.664299173793303,0.752650176678447,0.755837624236618,0.86707843303156,0.856158970305973,0.745018975332068,0.725349521707136,0.789414917373826,0.777026495793694,0.829916851897589,0.813334781192312,0.672028786114932
22.001,0.775259744787672,0.722040147480541,0.700864389967408,0.672212565185001,0.932012111202863,0.527541382212663,0.705273480061016,0.788811309369882,0.798555482600132,0.618329788217886,0.719442406456347,0.707025694510288,0.878539553752534,0.805271651425499,0.785714285714286,0.660304227000147,0.711827791065504,0.7489744398864,0.877848337691445,0.632315053367684,0.621904181892002,1.06739646531258,0.665565193446234,0.725727616085315,0.704449920278301,0.71731448763251,0.768291222608072,0.844318470259751,0.824884272326973,0.695920303605312,0.704194260485651,0.789638231353282,0.776633383127604,0.764880217337614,0.778803344554241,0.703884008889829
23.001,0.767310508332752,0.800696435886932,0.672240328751594,0.67146759374224,0.922469951371686,0.535490507808847,0.744279799520592,0.764158262218774,0.746158896913986,0.639230555812448,0.705355832721937,0.697923580164976,0.90369168356998,0.808606777837547,0.747501469723691,0.680049729413485,0.725175526579739,0.769722309876934,0.850205453866268,0.643264630106735,0.657125456760047,1.05816407280401,0.70563128183946,0.738946900688736,0.668792578634585,0.714770318021201,0.829481499221651,0.797275573229546,0.869594670881788,0.785934535104364,0.679727740986017,0.812341819264552,0.77679062819404,0.800691528772537,0.735910522315128,0.671076304370832
24.002,0.721079422634406,0.813805817287996,0.677766756412073,0.678172336727091,0.957152032296541,0.535958103432151,0.747657441708433,0.790362899750021,0.719763624425476,0.625080921113474,0.693617021276594,0.728927657153692,0.890223123732251,0.801398601398602,0.745443856554968,0.67800204768173,0.686598256307384,0.792757967813192,0.89400448262981,0.645196908354803,0.670422249289483,1.05051437615405,0.775161778879252,0.73950233281493,0.733729526018263,0.737102473498235,0.794994611423781,0.830611726880447,0.873433442474879,0.802419354838708,0.707505518763797,0.82886705374423,0.734491705322745,0.769737383716145,0.743837550222609,0.678167001799132
25,0.761313715919393,0.757886112249078,0.65651126541023,0.741370747454681,0.904578401688228,0.551669316375199,0.7682501634343,0.72554090164641,0.769402495075509,0.61370572459077,0.74057226705796,0.725703991656396,0.825638945233266,0.826143087681551,0.726141485400745,0.725610647945005,0.724944062958105,0.749447775323447,0.909039970115802,0.628082443871916,0.650223304912708,1.03561065681878,0.749001789893984,0.71384136858476,0.677779388317148,0.782756183745584,0.771404622200933,0.863355613842118,0.821948741108728,0.84392789373814,0.673105224429728,0.824177460175673,0.748486516235552,0.845723223841278,0.793245737865132,0.69859244364483
26.001,0.76814727006485,0.770995493650142,0.689103018279722,0.646386888502608,0.90705569318286,0.576825960909005,0.794617563739376,0.781915352124817,0.788837820091923,0.597613983168409,0.764049889948642,0.7981416516545,0.847302231237323,0.848951048951051,0.725161669606114,0.732704402515722,0.695239564848391,0.808535815714737,0.861412028389988,0.60875966139124,0.696102314250914,1.03376417831706,0.818532286933772,0.740168851366365,0.698651978547615,0.746855123674912,0.773440306550114,0.928081902022168,0.808174325392345,0.856380455407968,0.690213392200145,0.809959803483697,0.692664517650758,0.846299497818392,0.773916820501685,0.696793311461531
27.001,0.791367408130534,0.871364195002046,0.713617684568513,0.658306431586788,0.899899073309477,0.556625829982231,0.753214207888429,0.748383760020687,0.798424162836507,0.63849070563211,0.717534849596479,0.707215321892482,0.871156186612575,0.850779989241529,0.716343327454438,0.76283457656867,0.739140498418333,0.75560113600505,0.817239447142324,0.670776591829223,0.671640276086073,1.06515431284621,0.796640506677681,0.748278160408799,0.696332801855342,0.769045936395761,0.821219015686743,0.885015652762501,0.914643784577171,0.870493358633776,0.680279617365708,0.823433080244156,0.716565767749037,0.780933563842925,0.820936040829623,0.636998624193037
28.001,0.779304093159473,0.767513314215485,0.670823296018139,0.722994785199901,0.88255803284705,0.564574955578417,0.766071039442144,0.763899663822084,0.792383453709785,0.607509479330436,0.719882611885546,0.719730729117284,0.890872210953347,0.834642280796129,0.770527140897512,0.732265613573204,0.719851863282154,0.754260018933418,0.855715353007099,0.652741994847257,0.71041412911084,1.03363228699551,0.770342833539859,0.823705843145969,0.704449920278301,0.788127208480568,0.828044545563405,0.817581859717404,0.86620751947612,0.80823055028463,0.712656364974244,0.793732320976625,0.724821133736928,0.817815098378201,0.798349440764471,0.702296539316329
