ID,LENGTH,START,END,#SEG_NORM,#POS_NORM,#SEG_SUB,#POS_SUB,#SEG_CONF,#POS_CONF,#SEG_DIRECTED,#POS_DIRECTED
56,88,0,87,3,48,2,26,1,11,0,0
58,19,0,18,1,12,0,0,0,0,0,0
60,45,4,48,0,0,1,19,0,0,1,16
63,17,5,21,0,0,1,12,0,0,0,0
65,24,2,25,1,12,0,0,0,0,0,0
66,35,9,43,0,0,1,26,0,0,0,0
67,15,13,27,1,14,0,0,0,0,0,0
68,12,14,25,1,11,0,0,0,0,0,0
69,22,11,32,1,17,0,0,0,0,0,0
70,118,10,127,2,81,1,10,0,0,1,23
71,27,10,36,0,0,1,15,0,0,0,0
72,16,15,30,1,12,0,0,0,0,0,0
73,12,11,22,1,12,0,0,0,0,0,0
76,16,15,30,1,12,0,0,0,0,0,0
78,20,11,30,1,20,0,0,0,0,0,0
80,14,19,32,1,13,0,0,0,0,0,0
81,20,16,35,1,20,0,0,0,0,0,0
82,14,19,32,1,14,0,0,0,0,0,0
83,25,19,43,0,0,1,13,0,0,0,0
84,52,18,69,1,50,0,0,0,0,0,0
85,14,19,32,1,13,0,0,0,0,0,0
89,11,20,30,1,11,0,0,0,0,0,0
90,35,17,51,1,11,1,14,0,0,0,0
91,116,27,142,2,92,0,0,0,0,1,10
92,12,22,33,0,0,0,0,0,0,1,12
94,15,23,37,1,11,0,0,0,0,0,0
96,71,25,95,1,20,1,22,0,0,1,17
97,16,26,41,1,12,0,0,0,0,0,0
98,17,23,39,1,11,0,0,0,0,0,0
100,11,28,38,0,0,0,0,0,0,1,11
101,11,35,45,1,11,0,0,0,0,0,0
102,41,34,74,1,16,0,0,0,0,1,22
104,29,35,63,1,15,0,0,0,0,1,14
106,27,35,61,1,10,0,0,0,0,1,12
108,16,36,51,1,12,0,0,0,0,0,0
110,59,36,94,1,38,1,17,0,0,0,0
112,65,38,102,1,12,1,16,1,15,1,14
114,17,41,57,0,0,1,12,0,0,0,0
115,16,40,55,0,0,0,0,0,0,1,11
116,37,40,76,1,25,0,0,0,0,0,0
118,13,43,55,0,0,0,0,0,0,1,13
122,66,46,111,1,45,0,0,0,0,1,15
123,19,46,64,1,15,0,0,0,0,0,0
124,164,46,209,2,100,1,64,0,0,0,0
126,79,39,117,1,43,1,14,1,14,0,0
127,48,45,92,1,21,0,0,0,0,1,13
128,14,46,59,1,14,0,0,0,0,0,0
129,35,45,79,1,17,1,15,0,0,0,0
130,92,46,137,1,45,1,14,0,0,1,24
131,12,46,57,0,0,0,0,1,11,0,0
132,11,47,57,0,0,0,0,0,0,1,11
134,25,45,69,1,11,0,0,0,0,0,0
135,56,48,103,1,38,0,0,0,0,0,0
136,61,51,111,2,35,1,11,0,0,0,0
137,37,49,85,0,0,0,0,0,0,1,31
138,16,50,65,1,16,0,0,0,0,0,0
140,51,57,107,1,46,0,0,0,0,0,0
141,15,53,67,1,14,0,0,0,0,0,0
142,21,56,76,0,0,0,0,0,0,1,18
145,13,53,65,0,0,0,0,0,0,1,13
149,27,62,88,0,0,1,23,0,0,0,0
150,23,64,86,0,0,1,12,0,0,0,0
